"Quarter        Revenue_Millions
2026-03-31        181519
2025-12-31        213386
2025-09-30        180169
2025-06-30        167702
2025-03-31        155667
2024-12-31        187792
2024-09-30        158877
2024-06-30        147977
2024-03-31        143313
2023-12-31        169961
2023-09-30        143083
2023-06-30        134383
2023-03-31        127358
2022-12-31        149204
2022-09-30        127101
2022-06-30        121234
2022-03-31        116444
2021-12-31        137412
2021-09-30        110812
2021-06-30        113080
2021-03-31        108518
2020-12-31        125555
2020-09-30        96145
2020-06-30        88912
2020-03-31        75452"
